Project,Files,Lines,Bytes
omniology,26292,194410550,194801805592
zetetics,7558,55362318,2283812023
math-pdfs,2141,21165420,24791759519
quadrivium,25610,12172540,58403278132
codex,1445,11567936,834330843
autodoxx,3740,10576430,9686408188
academizer_vector_embedding,5,9629519,2989504108
academizer,3379,6282413,1375431006
standardgalactic,19876,5572265,6449786331
research-projects,3577,5312464,2691971031
research-backup,3170,5061768,2087344740
kitbash,3409,4636764,4381607016
TensorRT,2021,3274767,281386130
stuff,17046,2375003,188827727850
FusionAudio,3430,1652276,26024845053
foresight,13306,1446109,140688290162
lesswrong_ebook_library,1013,1367379,3966634266
processing,1394,1020693,394347726
alphabet,2730,860487,2702286740
test-directories,75,838370,62065516
summaries,1814,808833,87928677
large-files,41,745551,8493768995
antivenom,1249,642960,1310307320
old-alphabet,1869,642467,2023548415
sample,157,585223,16659145
library,7866,560665,2087684323
backup-antivenom,1280,520661,4537843572
explore,5663,507299,53709000209
machine-learning-books,59,463212,181057529
spherepop,1235,398036,1369858305
essentialsalts,1782,396555,20476249649
human,2448,395669,21824923017
example,508,391844,135868443
diatribe,217,380289,521452649
flyxion-vanity,112,310016,151498236
vanity-press-economy,112,310016,151498236
alphabet-backup,1434,309658,508898478
abraxas,707,297837,397332412
paracosm,205,292690,782016800
psygen-sources,1404,290106,32470146841
Krypo-Setup,980,285888,13172545
turnstile,260,269824,348074410
zet,382,259624,284111893
zettle,2719,252227,65288263
memnet,722,239151,1062397466
mirror,416,209416,125086267
guardrails,833,200421,2464464226
hepastitium,95,195387,541470540
ollama,804,175336,12003946
supercube,138,151031,165745377
audio-projects,612,144120,11617941305
autogenerative-dynamics,67,125383,71054229
unscannable-interfaces,244,116448,129826648
physics,12,116247,13620572
doom-debates,63,115126,4572614
stable-diffusion,10060,109725,15110776369
clip-interrogator,21,107448,1942269
standardgalactic.github.io,5682,101116,1232347862
playfloor,591,100102,1587732865
calculus,285,96041,422905656
Eschatology,1131,94877,4394127618
technobabble,143,93822,57898815
gamma-waves,403,92544,71282670
yarncrawler,216,90102,120229467
javascript,3341,81561,23693612762
Centerfuge,1582,73257,725273065
userland,134,64070,338605804
lualatex,78,63463,222279161
cpr-textbook,382,62161,245950872
alignment,49,43708,169372497
derivatives,190,43336,285953244
organic-chemistry,613,40812,1179347150
audio-explorer,108,36068,601440370
ethnobotany,274,34465,1662919
brain,96,31725,6898627
blastoids,15151,30781,4165035664
workspace,145,30644,516784171
computation,98,29825,317965808
in-progress,59,29348,6236305
milkdropper,52,29308,879786
research,58,28781,1508800
rolodex,288,28781,1508800
eclectric-oil,92,28261,17512443
graphic-novel,106,25569,483059944
bootstrap,14,24579,834956
extras,28,23852,1073040
alchemy,30,21418,1023145
tcs,40,20787,1669183
TARTAN,145,19733,247061455
to-audio,2,19325,54408206
cogniscium,222,18436,657831254
cosmology,88,17939,252439088
border-between,66,17901,2194660
lwe,197,17485,759864
holonomic-space,197,17311,221503766
HYDRA,63,17114,284959596
latex-compilation,76,17051,430662252
essay-series,39,14384,247232710
quantum-soup,60,14138,42404192
old-quantum-soup,57,14130,42479289
AscendAI,174,11476,6463807
fonts,2453,10697,1201962452
notes,243,10362,617972766
preference,110,10294,392501751
coordinates,60,10102,197731374
animal-social,49,10078,96257777
sociolinguistics,101,9977,1174050
hummod,4372,9506,33838426
holonomic-space-draft,134,9198,2715454
arcanum,134,8616,74762358
gish,1,8452,493405
syllabus,35,8302,27678149
userspace,26,8236,32758206
decoder,49,7896,2112745
arabic-flashcards,45,7809,103609606
fonts-backup,2451,7721,1201769319
linguistics,50,7709,156280135
byobu,313,7614,3279344
ling-temp,48,7509,156272002
draft-net,115,6986,619975
uncategorized,41,6182,230338319
margins-of-empire,15,6123,111170410
transcription-history,45,6063,184735
transfer,37,6046,745614
scriptorium,16,6004,18290824
intra,36,6003,743570
spleeter,138,5673,625551378
pscyhocinema-processing,68,5185,371622
failed-translation-attempt,7,5106,134352
a-thousand-blows,36,5013,2673772603
new-essay,21,4957,45585038
flyxion.github.io,101,4883,20123547
addendum,12,4461,1880530
cool-retro-term,120,4455,62972357
pacer,46,4373,18016349
working,32,3874,80843999
science,14,3655,62836933
commentary,47,3569,216282
docperturb,9,3481,183019
backup,2,3466,196807
caldera-reactor,17,3352,42038280
cakewalk,62,3207,496517
linguistics-template,12,3032,36260207
lethal-intelligence,243,2592,190960309
plenum-ascent,167,2502,19539197
experiment,26,2264,334198
Ultrasonic-Consciousness-Hypothesis,17,2260,45251732
stable-diffusion-webui-docker,6180,2092,14791631386
random-memory,13,2036,40710813
islands-of-coherence,47,1940,4052793
xylomorphic,35,1699,173712549
chatbot,37,1679,233304
good-thinking,3,1642,768776
consciousness,54,1154,28816510
Reverse_Generation,6,1094,23912745
processing-02,44,1081,636238
playfloor-backup,4,934,293129
incomplete-context,3,825,64874
phoenix,6,773,50745907
incomplete-context-02,3,669,57261
reality,6,624,40998368
decelerationist,20,620,51572628
weights,32,563,5986239265
.claude,32,556,16820
keyboard,16,460,6961755
geometric-epistemlogy,7,364,63993960
substrate,6993,337,483251416
coding-project,5,291,526448
hallucinations,3,174,19304
facebook-pages,33,137,7259751
social,33,135,7259740
chat-gpt-data-source,2,132,460053172
pastebin,8,106,14894444
applications,2,85,3365
symbolic-logic,6,85,3967524
audio-transcriptions,24,46,576769
logical-connectives,4,35,2189780
autonomy,5,1,45868992
causal-history,2,1,10787947
arabic-linguistics-large-files,4,0,204717878
audio-m4a,202,0,13942203694
audio-mp3,256,0,2113782895
aurora-processing,1,0,60256922
cloak,100,0,465094246
closure,0,0,0
comic,18,0,88157080
compressed,2995,0,715232163
cosmology-archive,10,0,33662069
drive-download-20251116T213018Z-1-001,0,0,0
environmental,3,0,435409
epistemology,9,0,796551
flower-wars,38,0,270436264
images,0,0,0
lizard-people,38,0,13999292
memnet-backup,5,0,246261638
ocr,1,0,2637781
olden,5,0,2470030
ponyo,24,0,575858193
processed-javascript,0,0,0
template,0,0,0
test-directory,0,0,0
tmp,0,0,0
tmporary-bin,0,0,0
